Algoritmo,Tamano de Matriz,Tiempo de Ejecucion (ms)
NaivOnArray,(2, 2),0
NaivLoopUnrollingTwo,(2, 2),2
NaivLoopUnrollingFour,(2, 2),0
WinogradOriginal,(2, 2),0
WinogradScaled,(2, 2),2
StrassenNaiv,(2, 2),0
StrassenWinograd,(2, 2),0
III_3_SequentialBlock,(2, 2),0
III_5_EnhancedParallelBlock,(2, 2),6
NaivOnArray,(32, 32),1
NaivLoopUnrollingTwo,(32, 32),2
NaivLoopUnrollingFour,(32, 32),1
WinogradOriginal,(32, 32),1
WinogradScaled,(32, 32),3
StrassenNaiv,(32, 32),1
StrassenWinograd,(32, 32),1
III_3_SequentialBlock,(32, 32),1
III_4_ParallelBlock,(32, 32),4
III_5_EnhancedParallelBlock,(32, 32),19
NaivOnArray,(64, 64),3
NaivLoopUnrollingTwo,(64, 64),8
NaivLoopUnrollingFour,(64, 64),4
WinogradOriginal,(64, 64),4
WinogradScaled,(64, 64),7
StrassenNaiv,(64, 64),5
StrassenWinograd,(64, 64),7
III_3_SequentialBlock,(64, 64),5
III_4_ParallelBlock,(64, 64),33
III_5_EnhancedParallelBlock,(64, 64),44
NaivOnArray,(16, 16),0
NaivLoopUnrollingTwo,(16, 16),2
NaivLoopUnrollingFour,(16, 16),0
WinogradOriginal,(16, 16),1
WinogradScaled,(16, 16),2
StrassenNaiv,(16, 16),1
StrassenWinograd,(16, 16),0
III_3_SequentialBlock,(16, 16),0
III_4_ParallelBlock,(16, 16),4
III_5_EnhancedParallelBlock,(16, 16),8
