Algoritmo,Tamaño de Matriz,Tiempo de Ejecución (s)
StrassenNaiv,16,0.012996912002563477
StrassenWinograd,16,0.011951684951782227
III_3_SequentialBlock,16,0.014329671859741211
III_4_ParallelBlock,16,0.0153961181640625
III_5_EnhancedParallelBlock,16,0.026470422744750977
NaivOnArray,16,0.010102272033691406
NaivLoopUnrollingTwo,16,0.012928247451782227
NaivLoopUnrollingFour,16,0.012931108474731445
WinogradOriginal,16,0.010989189147949219
WinogradScaled,16,0.01098942756652832
StrassenNaiv,32,0.08290386199951172
StrassenWinograd,32,0.0563046932220459
III_3_SequentialBlock,32,0.08672118186950684
III_4_ParallelBlock,32,0.09102845191955566
III_5_EnhancedParallelBlock,32,0.18941092491149902
NaivOnArray,32,0.07947421073913574
NaivLoopUnrollingTwo,32,0.0906367301940918
NaivLoopUnrollingFour,32,0.08759140968322754
WinogradOriginal,32,0.06511497497558594
WinogradScaled,32,0.04478168487548828
StrassenNaiv,64,0.33199453353881836
StrassenWinograd,64,0.3211698532104492
III_3_SequentialBlock,64,0.5720841884613037
III_4_ParallelBlock,64,0.7522482872009277
III_5_EnhancedParallelBlock,64,1.6288177967071533
NaivOnArray,64,0.5992939472198486
NaivLoopUnrollingTwo,64,0.668562650680542
NaivLoopUnrollingFour,64,0.6225166320800781
WinogradOriginal,64,0.414381742477417
WinogradScaled,64,0.28986191749572754
StrassenNaiv,256,11.45171594619751
StrassenWinograd,256,9.951493263244629
III_3_SequentialBlock,256,37.730762004852295
III_4_ParallelBlock,256,38.22006821632385
III_5_EnhancedParallelBlock,256,99.68383598327637
NaivOnArray,256,39.186243295669556
NaivLoopUnrollingTwo,256,38.465824365615845
NaivLoopUnrollingFour,256,46.09848380088806
WinogradOriginal,256,25.35264229774475
WinogradScaled,256,18.471391439437866
StrassenNaiv,512,121.9598081111908
StrassenWinograd,512,100.75535106658936
III_3_SequentialBlock,512,288.29883098602295
III_4_ParallelBlock,512,327.95927143096924
III_5_EnhancedParallelBlock,512,881.102301120758
NaivOnArray,512,311.64336037635803
NaivLoopUnrollingTwo,512,286.928617477417
NaivLoopUnrollingFour,512,292.5784373283386
WinogradOriginal,512,183.8293581008911
WinogradScaled,512,122.50532507896423
